surf,read,pos,count
箱,バコ,"名詞,接尾,一般,*",0.00043938216108425996
使っ,ツカッ,"動詞,自立,*,*",0.00043938216108425996
ゲイ,ゲイ,"名詞,一般,*,*",0.00043938216108425996
女性,ジョセイ,"名詞,一般,*,*",0.00040558353330854766
好き,スキ,"名詞,接尾,形容動詞語幹,*",0.00040558353330854766
崩壊,ホウカイ,"名詞,サ変接続,*,*",0.00040558353330854766
音,オト,"名詞,一般,*,*",0.00040558353330854766
日本人,ニッポンジン,"名詞,一般,*,*",0.00040558353330854766
悲しい,カナシイ,"形容詞,自立,*,*",0.00040558353330854766
殺し,コロシ,"動詞,自立,*,*",0.00040558353330854766
心配,シンパイ,"名詞,サ変接続,*,*",0.00040558353330854766
待っ,マッ,"動詞,自立,*,*",0.00040558353330854766
家,イエ,"名詞,一般,*,*",0.00040558353330854766
当たり前,アタリマエ,"名詞,形容動詞語幹,*,*",0.00040558353330854766
こっち,コッチ,"名詞,代名詞,一般,*",0.00040558353330854766
特に,トクニ,"副詞,一般,*,*",0.00040558353330854766
教え,オシエ,"動詞,自立,*,*",0.00040558353330854766
すれ,スレ,"動詞,自立,*,*",0.00040558353330854766
送っ,オクッ,"動詞,自立,*,*",0.00040558353330854766
わかっ,ワカッ,"動詞,自立,*,*",0.00040558353330854766
大変,タイヘン,"名詞,形容動詞語幹,*,*",0.00040558353330854766
意識,イシキ,"名詞,サ変接続,*,*",0.00040558353330854766
２,ニ,"名詞,数,*,*",0.00040558353330854766
つい,ツイ,"動詞,自立,*,*",0.00040558353330854766
うち,ウチ,"名詞,一般,*,*",0.00040558353330854766
表現,ヒョウゲン,"名詞,サ変接続,*,*",0.00040558353330854766
なかっ,ナカッ,"形容詞,自立,*,*",0.00040558353330854766
系,ケイ,"名詞,接尾,一般,*",0.00040558353330854766
泣い,ナイ,"動詞,自立,*,*",0.00040558353330854766
涙,ナミダ,"名詞,一般,*,*",0.00040558353330854766
つけ,ツケ,"動詞,自立,*,*",0.00040558353330854766
いい,イイ,"動詞,自立,*,*",0.00040558353330854766
感染,カンセン,"名詞,サ変接続,*,*",0.00040558353330854766
なれる,ナレル,"動詞,自立,*,*",0.00040558353330854766
裏,ウラ,"名詞,一般,*,*",0.00040558353330854766
分かっ,ワカッ,"動詞,自立,*,*",0.00040558353330854766
食べる,タベル,"動詞,自立,*,*",0.00040558353330854766
愛,アイ,"名詞,一般,*,*",0.00040558353330854766
あげ,アゲ,"動詞,自立,*,*",0.00040558353330854766
大人,オトナ,"名詞,一般,*,*",0.00040558353330854766
